TaskField,FileName,MonkeyName,MonkeyGroup,EpochStartStop
1695747329305000,10498.JPG,110E,Zombies,"(104.6311, 106.94025)"
1695747330253000,533.JPG,110E,Zombies,"(169.69795, 171.9732)"
1695747331925000,10544.JPG,110E,Zombies,"(277.4316, 279.77395)"
1695747335404000,5606.JPG,110E,Zombies,"(507.2654, 509.54015)"
1695747336687000,10578.JPG,110E,Zombies,"(592.99895, 595.2737)"
1695747337710000,7769.JPG,110E,Zombies,"(664.6324, 666.94075)"
1695747345262000,2344.JPG,110E,Zombies,"(1156.3331, 1158.6087)"
1695747346311000,7770.JPG,110E,Zombies,"(1227.86675, 1230.27515)"
1695747350313000,909.JPG,110E,Zombies,"(1493.4672, 1495.74285)"
1695747335001000,6083.JPG,143H,Zombies,"(483.09865, 485.6736)"
1695747335590000,9039.JPG,143H,Zombies,"(521.46535, 523.74085)"
1695747344223000,466.JPG,143H,Zombies,"(1089.0662, 1091.67445)"
1695747345430000,8759.JPG,143H,Zombies,"(1165.93295, 1168.20865)"
1695747347855000,8701.JPG,143H,Zombies,"(1333.80015, 1336.0755)"
1695747350045000,8669.JPG,143H,Zombies,"(1473.60055, 1476.17625)"
1695747350656000,1253.JPG,143H,Zombies,"(1535.30075, 1537.5763)"
1695747350859000,8736.JPG,143H,Zombies,"(1549.60085, 1551.87645)"
1695747352155000,5514.JPG,143H,Zombies,"(1631.20055, 1633.47555)"
1695747353181000,8681.JPG,143H,Zombies,"(1690.20095, 1692.47585)"
1695747329149000,2262.JPG,151J,Zombies,"(95.1312, 97.4064)"
1695747331693000,2273.JPG,151J,Zombies,"(258.5314, 260.84055)"
1695747335858000,2180.JPG,151J,Zombies,"(540.46525, 543.07395)"
1695747336598000,2179.JPG,151J,Zombies,"(588.19875, 590.5079)"
1695747339658000,2296.JPG,151J,Zombies,"(788.5992, 790.90745)"
1695747342127000,2178.JPG,151J,Zombies,"(950.8661, 953.2085)"
1695747343099000,2194.JPG,151J,Zombies,"(1017.46635, 1019.7753)"
1695747346722000,1419.JPG,151J,Zombies,"(1254.5335, 1257.00815)"
1695747347563000,2271.JPG,151J,Zombies,"(1310.16695, 1312.442)"
1695747328534000,5747.JPG,67G,Zombies,"(61.66445, 63.9395)"
1695747331128000,1298.JPG,67G,Zombies,"(220.43145, 222.7071)"
1695747333002000,9054.JPG,67G,Zombies,"(349.26515, 351.5737)"
1695747334077000,9073.JPG,67G,Zombies,"(420.96515, 423.27395)"
1695747335951000,7715.JPG,67G,Zombies,"(545.5655, 547.8736)"
1695747338302000,9077.JPG,67G,Zombies,"(702.86565, 705.17435)"
1695747343978000,5788.JPG,67G,Zombies,"(1074.73325, 1077.008)"
1695747346591000,1797.JPG,67G,Zombies,"(1245.0666, 1247.3416)"
1695747347090000,5803.JPG,67G,Zombies,"(1278.467, 1280.94155)"
1695747349857000,9075.JPG,67G,Zombies,"(1463.40035, 1465.67585)"
1695747327797000,7879.JPG,69X,Zombies,"(13.49745, 16.10655)"
1695747328851000,7755.JPG,69X,Zombies,"(75.99765, 78.30625)"
1695747334545000,1261.JPG,69X,Zombies,"(454.2653, 456.84065)"
1695747340425000,8704.JPG,69X,Zombies,"(836.19905, 838.54155)"
1695747341304000,527.JPG,69X,Zombies,"(898.06625, 900.3752)"
1695747343330000,5793.JPG,69X,Zombies,"(1036.43305, 1038.7418)"
1695747344870000,1912.JPG,69X,Zombies,"(1132.2664, 1134.70865)"
1695747351377000,1337.JPG,69X,Zombies,"(1587.50065, 1589.8431)"
1695747351507000,911.JPG,69X,Zombies,"(1594.80085, 1597.0759)"
1695747329082000,7801.JPG,7124,Zombies,"(90.33115, 92.60645)"
1695747330600000,7603.JPG,7124,Zombies,"(193.53115, 195.80655)"
1695747332935000,7360.JPG,7124,Zombies,"(344.5651, 346.83985)"
1695747339813000,7771.JPG,7124,Zombies,"(798.16605, 800.4407)"
1695747342314000,10264.JPG,7124,Zombies,"(965.1329, 967.4077)"
1695747343498000,10279.JPG,7124,Zombies,"(1046.0332, 1048.3084)"
1695747343582000,10329.JPG,7124,Zombies,"(1050.833, 1053.10765)"
1695747348407000,1829.JPG,7124,Zombies,"(1367.13335, 1369.4082)"
1695747350412000,1350.JPG,7124,Zombies,"(1498.3341, 1500.6086)"
1695747350726000,7774.JPG,7124,Zombies,"(1540.0674, 1542.37635)"
1695747328947000,2331.JPG,72X,Zombies,"(80.83095, 83.1066)"
1695747329403000,1996.JPG,72X,Zombies,"(109.4643, 111.77285)"
1695747330064000,1948.JPG,72X,Zombies,"(155.4643, 157.7396)"
1695747335530000,1950.JPG,72X,Zombies,"(516.69875, 519.00745)"
1695747336504000,1997.JPG,72X,Zombies,"(578.7656, 581.0402)"
1695747339207000,523.JPG,72X,Zombies,"(760.0326, 762.3082)"
1695747340873000,7897.JPG,72X,Zombies,"(869.4326, 871.7417)"
1695747346437000,1835.JPG,72X,Zombies,"(1237.76685, 1240.075)"
1695747350915000,1952.JPG,72X,Zombies,"(1554.3009, 1556.6095)"
1695747353729000,10280.JPG,72X,Zombies,"(1728.3008, 1730.60905)"
1695747330386000,1795.JPG,87J,Zombies,"(179.19805, 181.50565)"
1695747330512000,2036.JPG,87J,Zombies,"(188.69795, 191.0066)"
1695747331788000,2141.JPG,87J,Zombies,"(267.96475, 270.2403)"
1695747334768000,2039.JPG,87J,Zombies,"(468.8318, 471.107)"
1695747337476000,2152.JPG,87J,Zombies,"(650.29885, 652.60765)"
1695747341694000,1773.JPG,87J,Zombies,"(922.3661, 924.64105)"
1695747343262000,2147.JPG,87J,Zombies,"(1031.66635, 1033.97525)"
1695747349394000,2040.JPG,87J,Zombies,"(1431.10045, 1433.5093)"
1695747351150000,1956.JPG,87J,Zombies,"(1568.6009, 1570.90945)"
1695747352414000,1794.JPG,87J,Zombies,"(1645.83415, 1648.1085)"
1695747328988000,2145.JPG,94B,Zombies,"(85.49795, 87.80635)"
1695747331207000,7902.JPG,94B,Zombies,"(225.16445, 227.6072)"
1695747332736000,5545.JPG,94B,Zombies,"(330.1315, 332.4066)"
1695747332841000,7399.JPG,94B,Zombies,"(339.5648, 342.0399)"
1695747334272000,5551.JPG,94B,Zombies,"(435.2316, 437.54)"
1695747343405000,7439.JPG,94B,Zombies,"(1041.19965, 1043.50805)"
1695747347378000,2139.JPG,94B,Zombies,"(1300.4335, 1302.74165)"
